"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Luxurious apartment (Oud-West/ Jordaan)","2017-08-31","N/A",NA,60,"f",0,0,"t","t","Entire home/apt",2,1,1,170,3,1125,0,3,3,0,5,5,5,5,5,5,5,"f",1,0.73,1548,"Amsterdam"
"Spacious, light apartment with canal view","2014-03-04","within a few hours",100,50,"f",1,1,"t","t","Entire home/apt",2,1,1,180,3,1124,0,16,0,0,5,5,4.94,5,4.94,4.88,4.88,"f",1,0.38,2824,"Amsterdam"
"Lovely Apt, 5 minute walk from Centraal Station","2015-02-23","within a day",100,60,"f",0,0,"t","f","Entire home/apt",2,1,1,150,2,30,0,27,0,0,4.81,4.92,4.77,4.76,4.96,4.84,4.56,"f",1,0.69,2468,"Amsterdam"
"Appartement in Amsterdam met uitzicht en tuin","2020-08-18","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",4,2,3,180,3,4,0,6,3,0,4.67,4.83,4.67,5,4.83,4.83,4.67,"f",1,0.43,465,"Amsterdam"
"Amalia Suite","2012-08-29","within an hour",100,98,"t",4,4,"t","t","Entire home/apt",2,1,1,154,1,365,297,62,5,0,4.71,4.87,4.95,4.6,4.73,4.68,4.61,"t",4,1,3376,"Amsterdam"
"Cozy 105 sqm residence with a home cinema","2013-08-07","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",4,2,2,125,5,50,36,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,3033,"Amsterdam"
"Sleeping on a houseboat","2015-09-21","within a few hours",100,0,"t",1,1,"t","t","Private room",2,1,1,134,2,7,19,69,0,0,4.78,4.83,4.81,4.99,4.97,4.94,4.57,"f",1,0.93,2258,"Amsterdam"
"Spacious home 25 minutes from Amsterdam Center","2016-08-04","within a day",100,0,"f",1,1,"t","f","Entire home/apt",4,2,2,60,3,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,1940,"Amsterdam"
"Large ap. in most trendy central  area (De Pijp).","2019-10-27","within a day",100,0,"f",0,0,"t","t","Entire home/apt",2,1,1,220,3,1125,66,1,0,0,5,5,5,5,5,5,5,"f",1,0.04,761,"Amsterdam"
"Love Nest - Amsterdam","2012-12-29","within an hour",100,73,"t",2,2,"t","f","Entire home/apt",4,2,2,175,2,5,0,30,0,0,4.93,4.8,4.93,4.93,4.93,4.53,4.6,"f",1,0.41,3254,"Amsterdam"
"Two clean comfy private studio's in De Pijp","2013-06-12","within an hour",100,100,"t",3,3,"t","t","Entire home/apt",4,2,2,155,3,100,2,18,9,5,4.78,4.89,5,4.94,4.94,4.89,4.61,"t",3,1.24,3089,"Amsterdam"
"Luxe boat AMSTERDAM IJBURG!!!","2012-02-19","within a day",100,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,395,7,365,358,3,0,0,4,5,4.5,5,5,5,4,"f",1,0.05,3568,"Amsterdam"
"Charming Amsterdam North","2015-07-09","N/A",NA,NA,"t",1,1,"t","f","Entire home/apt",2,2,3,150,2,31,34,16,0,0,4.75,4.75,4.81,5,5,4.44,4.63,"f",1,0.21,2332,"Amsterdam"
"City Center, Amazing Canal Views, 100% Privacy","2017-07-21","within an hour",100,99,"t",1,1,"t","t","Private room",4,1,2,163,2,1125,16,141,40,4,4.86,4.88,4.84,4.94,4.92,4.93,4.79,"t",1,4.58,1589,"Amsterdam"
"Lovely apartment 2 guests - ""De Pijp""","2014-12-09","within a few hours",100,75,"f",0,0,"t","f","Entire home/apt",2,1,1,175,2,1125,117,4,3,0,4.5,4.75,4.75,5,5,5,4.25,"f",1,0.42,2544,"Amsterdam"
"STAY FRIENDLY IN OUR BUNK ROOM FOR 4 WITH EN-SUITE","2019-02-18","within an hour",100,100,"f",0,0,"t","t","Private room",4,1,4,165,1,365,126,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",12,NA,1012,"Amsterdam"
"Sir Albert","2020-12-18","N/A",NA,100,"f",5,5,"t","t","Hotel room",0,NA,NA,0,1,365,0,1,1,0,5,4,5,5,5,5,5,"f",1,0.1,343,"Amsterdam"
"Sunny spacious house with garden & free parking","2015-04-06","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,2,2,120,3,1125,0,2,0,0,5,5,5,5,5,5,5,"f",1,0.07,2426,"Amsterdam"
"Amstel Nest - an urban retreat for two","2012-02-12","N/A",NA,NA,"t",2,2,"t","t","Private room",2,1,1,73,3,30,122,393,3,1,4.89,4.87,4.9,4.97,4.97,4.88,4.75,"t",1,3.71,3575,"Amsterdam"
"Lovely and modern apartment (parkview)","2017-02-27","N/A",NA,NA,"t",7,7,"t","t","Entire home/apt",4,2,2,200,1,1125,0,16,6,1,4.69,4.75,4.5,4.94,4.94,4.81,4.69,"f",1,10.21,1733,"Amsterdam"
"Residences | 2-Bedrooms | Serviced Apartment","2021-01-13","within a few hours",91,100,"f",0,0,"t","t","Entire home/apt",4,2,3,197,7,180,251,1,1,0,4,5,3,5,5,5,5,"t",5,0.16,317,"Amsterdam"
"Cosy room in spacious apartment","2017-03-13","within a few hours",100,99,"f",3,3,"t","t","Private room",2,1,1,68,2,1124,50,154,14,0,4.32,4.59,4.17,4.62,4.63,4.45,4.34,"f",3,2.8,1719,"Amsterdam"
"Private Garden room","2012-11-06","within an hour",100,100,"t",1,1,"t","f","Private room",2,1,1,78,2,7,13,35,6,2,4.94,4.86,4.94,5,4.97,4.77,4.74,"f",1,1.11,3307,"Amsterdam"
"Great room with adjacent bathroom w","2012-10-15","within an hour",100,100,"f",3,3,"t","t","Private room",4,2,3,139,1,1125,165,78,6,3,4.86,4.83,4.75,4.84,4.9,4.65,4.61,"t",3,0.97,3329,"Amsterdam"
"Stylish private garden studio","2015-09-07","within a few hours",90,89,"t",0,0,"t","t","Private room",2,1,NA,80,2,28,22,13,9,2,4.92,5,4.77,5,5,5,4.77,"f",1,0.88,2272,"Amsterdam"
"Stylish& luxurious ground floor appartment in West","2014-04-19","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",4,2,1,92,3,365,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2778,"Amsterdam"
"What a view! Beautiful Apartment with Workspace","2012-08-20","within an hour",100,80,"t",1,1,"t","t","Entire home/apt",4,2,2,276,3,14,6,12,3,0,4.92,4.83,4.83,5,4.92,4.92,4.75,"f",1,0.44,3385,"Amsterdam"
"Spacious Family House in the Museum District","2010-08-09","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,275,3,30,10,16,0,0,5,4.94,4.94,5,5,5,4.81,"f",1,0.25,4127,"Amsterdam"
"Large modern house with much comfort!","2016-05-10","N/A",NA,60,"f",1,1,"t","f","Entire home/apt",6,4,5,135,4,13,0,3,3,0,5,5,4.67,4.67,4.67,4.33,5,"f",1,0.83,2026,"Amsterdam"
"New Studio in Amsterdam","2015-12-27","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,NA,2,149,4,30,0,30,0,0,4.79,4.86,4.83,4.93,5,4.45,4.38,"f",1,0.45,2161,"Amsterdam"
"Mooi appartement met tuin vlakbij oosterpark","2017-02-25","within an hour",71,67,"f",0,0,"t","f","Entire home/apt",2,1,1,150,4,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,1735,"Amsterdam"
"Lovely apartment in the most vibrant area","2011-04-25","N/A",NA,40,"f",1,1,"t","t","Entire home/apt",2,2,2,160,1,100,0,13,0,0,4.9,4.8,4.9,4.9,5,5,4.6,"f",1,0.44,3868,"Amsterdam"
"Beautiful spacious house in Amsterdam at a canal","2014-01-31","within a few hours",100,85,"f",1,1,"t","t","Entire home/apt",5,3,5,245,2,1125,51,29,2,0,4.93,4.93,4.89,4.86,4.96,4.71,4.79,"f",1,0.6,2856,"Amsterdam"
"Private room in art collectors’ home","2013-05-14","within an hour",100,93,"f",1,1,"t","f","Private room",2,1,1,85,1,10,160,73,7,5,4.87,4.96,4.97,4.94,4.94,4.9,4.75,"f",1,2.04,3118,"Amsterdam"
"Double room, private bathroom, terrace and parking","2015-01-15","N/A",NA,0,"f",2,2,"t","f","Private room",2,1,1,100,1,1125,0,1,0,0,0,NA,NA,NA,NA,NA,NA,"t",2,0.04,2507,"Amsterdam"
"Studio 2","2018-08-16","within an hour",100,85,"f",0,0,"t","t","Entire home/apt",4,NA,1,177,1,1125,357,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,1198,"Amsterdam"
"Garden Suite, City Centre","2018-09-27","within an hour",91,100,"f",7,7,"t","t","Private room",2,1,1,82,1,365,286,129,34,3,4.43,4.7,4.8,4.6,4.4,4.94,4.52,"t",2,3.81,1156,"Amsterdam"
"Amsterdam Centrum met dakterras voor niet-rokers","2014-03-24","within a day",100,43,"f",1,1,"t","f","Entire home/apt",2,1,1,136,3,4,10,71,1,0,4.92,4.91,4.97,4.97,4.99,4.86,4.88,"f",1,0.82,2804,"Amsterdam"
"Historical monument in the center Amsterdam","2014-08-13","N/A",NA,67,"f",1,1,"t","t","Entire home/apt",2,1,1,180,3,365,0,1,0,0,5,5,5,5,5,5,5,"f",1,0.08,2662,"Amsterdam"
"Comfortable, spacious, amazing family Canal house","2015-09-23","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",4,4,4,225,21,30,58,6,1,0,5,5,5,5,5,5,4.8,"f",1,0.2,2256,"Amsterdam"
"Spacious family house nearby centre","2014-04-03","within an hour",100,60,"f",1,1,"t","t","Entire home/apt",4,3,3,259,1,365,215,88,2,0,4.83,4.9,4.89,4.9,4.91,4.66,4.57,"f",1,0.97,2794,"Amsterdam"
"Spacious Stylish room @ Leidseplein","2014-04-12","within an hour",100,84,"t",2,2,"t","t","Private room",2,1,1,90,1,1124,318,302,27,3,4.86,4.89,4.95,4.93,4.95,4.98,4.71,"f",2,4.44,2785,"Amsterdam"
"Bright central studio with terrace","2012-07-01","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",2,1,1,140,2,1125,286,55,0,0,4.96,4.94,4.96,4.98,4.94,4.96,4.91,"f",2,0.51,3435,"Amsterdam"
"Romantische B&B in rustige buurt","2013-07-29","N/A",NA,NA,"f",0,0,"t","t","Private room",2,1,1,115,2,7,301,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,3042,"Amsterdam"
"NEW: Spectacular rooftop apartment with jacuzzi","2014-11-14","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,285,3,1125,0,7,0,0,5,5,5,5,4.86,5,4.57,"f",1,0.22,2569,"Amsterdam"
"Private Room. Garden Apartment. Old West Amsterdam","2016-06-08","within an hour",100,97,"t",3,3,"t","t","Private room",1,1,1,45,3,30,57,175,17,5,4.88,4.94,4.87,4.99,4.97,4.82,4.9,"f",2,3.41,1997,"Amsterdam"
"Cosy Arty guest suite old city","2014-08-06","within an hour",100,93,"t",2,2,"t","t","Private room",2,1,1,141,2,1125,320,56,4,2,4.91,4.93,4.88,4.95,4.96,5,4.7,"f",2,1.03,2669,"Amsterdam"
"Eco-friendly Triple Room in the Westerpark","2019-01-18","within an hour",98,100,"t",8,8,"t","t","Private room",3,1,2,160,1,1125,348,55,31,2,4.82,4.78,4.71,4.82,4.71,4.76,4.65,"t",9,3.24,1043,"Amsterdam"
"Cozy apartment in De Baarsjes","2015-08-03","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,1,1,200,3,30,0,1,0,0,5,5,5,5,5,5,5,"f",1,0.04,2307,"Amsterdam"
"Spacious two story apartment near city center","2019-08-20","within an hour",100,29,"f",1,1,"t","f","Entire home/apt",4,2,2,145,7,1125,2,7,1,0,5,4.86,5,5,5,5,4.71,"f",1,6.18,829,"Amsterdam"
"The Green Loft in Amsterdam","2013-05-31","within a few hours",100,90,"t",1,1,"t","t","Private room",4,1,4,90,2,1125,318,380,13,2,4.72,4.74,4.67,4.78,4.8,4.65,4.59,"f",1,3.84,3101,"Amsterdam"
"Historic canal house in the middle of De Jordaan!","2014-12-25","within an hour",100,80,"t",1,1,"t","t","Private room",4,2,2,231,2,30,49,45,8,5,4.96,4.93,5,4.98,4.98,5,4.82,"f",1,1.64,2528,"Amsterdam"
"Classic home with a view and rooftop terrace","2013-05-20","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,200,3,30,0,38,0,0,4.95,4.95,4.84,4.97,5,4.82,4.71,"f",1,0.42,3112,"Amsterdam"
"Hotel Not Hotel: Mrs de With","2014-04-22","within an hour",100,100,"f",21,21,"t","t","Private room",2,1,1,124,1,1125,330,4,4,2,4.5,4.5,4.25,4,4.25,4.75,3.75,"t",21,4,2775,"Amsterdam"
"Nice and cosy apartment in Amsterdam Old-West","2014-03-24","within a day",100,47,"f",1,1,"t","t","Entire home/apt",2,1,NA,99,1,7,0,3,3,0,5,5,4.67,5,5,5,5,"f",1,1.58,2804,"Amsterdam"
"Sunny apartment & balcony in trendy De Pijp","2016-03-31","within a day",100,82,"t",1,1,"t","t","Entire home/apt",2,1,1,110,3,1125,0,41,6,0,4.88,4.88,4.83,4.93,4.98,4.78,4.71,"f",1,0.63,2066,"Amsterdam"
"Cosy Room in Amsterdam Old West","2017-09-23","within a few hours",100,50,"f",3,3,"t","t","Private room",1,1,1,73,2,1125,350,3,0,0,4.67,4.67,5,5,4.67,4,4,"f",3,0.13,1525,"Amsterdam"
"Penthouse most beautiful apartment of Amsterdam","2021-03-08","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",4,3,3,144,1,23,0,3,3,0,3.33,3.67,3.67,3.33,3.67,5,3.67,"t",1,2.25,263,"Amsterdam"
"ground floor app. 3p | SUNNY GARDEN","2014-01-14","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,1,2,125,3,110,0,24,0,0,4.96,5,4.92,5,5,4.79,4.79,"f",1,0.37,2873,"Amsterdam"
"Cozy apartment next to Rembrandtpark","2012-10-01","within a few hours",100,25,"f",0,0,"t","t","Entire home/apt",2,1,1,129,7,21,42,9,0,0,4.89,4.89,4.67,4.89,4.89,4.56,4.44,"f",1,0.22,3343,"Amsterdam"
"Spacious family home in Amsterdam (families only)","2012-12-16","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",4,4,6,150,2,365,0,14,0,0,4.93,4.93,4.57,5,4.93,4.57,4.86,"f",1,0.18,3267,"Amsterdam"
"Sonnenberg - Canal side & view - Private & Central","2011-08-22","within an hour",100,100,"t",2,2,"t","t","Entire home/apt",4,2,3,344,2,180,306,123,19,4,4.81,4.9,4.86,4.84,4.85,4.97,4.62,"t",1,1.11,3749,"Amsterdam"
"200 m2 apartment Amsterdam West","2016-06-04","within a day",80,33,"f",1,1,"t","t","Entire home/apt",4,4,4,315,4,1125,355,34,0,0,4.81,4.68,4.87,4.74,4.84,4.52,4.61,"f",1,0.56,2001,"Amsterdam"
"Central 17th Century Unique House","2012-05-05","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,3,2,171,3,20,4,35,4,1,4.97,5,5,4.94,5,4.97,4.91,"f",1,0.66,3492,"Amsterdam"
"Sunny apartment in Amsterdam West district","2014-03-19","within a day",88,0,"f",1,1,"t","f","Entire home/apt",2,2,2,285,3,5,359,7,0,0,4.4,5,4.4,5,5,4.8,4.2,"f",1,0.23,2809,"Amsterdam"
"Lovely & Stylish near Vondelpark","2012-10-03","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,185,2,1125,0,20,0,0,4.79,4.89,4.89,5,5,4.89,4.53,"t",1,0.25,3341,"Amsterdam"
"Central located spacious app. in hip A'dam East","2013-01-27","N/A",NA,NA,"t",1,1,"t","t","Entire home/apt",2,2,1,150,2,1125,0,13,0,0,5,5,5,4.85,5,4.85,4.77,"f",1,0.34,3225,"Amsterdam"
"Cosy and light bedroom in Amsterdam West","2014-12-16","within an hour",100,94,"t",0,0,"t","t","Private room",2,1,1,50,1,5,46,14,14,3,5,4.93,5,4.93,5,4.79,4.93,"t",1,3.53,2537,"Amsterdam"
"First Class houseboat studio (corner)","2015-12-27","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",2,1,1,136,3,1125,299,295,35,6,4.91,4.94,4.82,4.99,4.99,5,4.73,"t",2,5.32,2161,"Amsterdam"
"Unique modern family home close to the Amstel","2011-07-06","within a day",100,100,"f",0,0,"t","t","Entire home/apt",6,3,2,214,7,90,74,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,3796,"Amsterdam"
"Private B&B city center near Leidseplein","2018-01-04","within a few hours",96,80,"f",8,8,"t","t","Private room",2,1,1,95,1,1125,85,168,26,5,4.71,4.74,4.85,4.79,4.75,4.98,4.53,"f",4,3.71,1422,"Amsterdam"
"Lovely spacious terraced house","2014-02-24","within a day",100,0,"f",2,2,"t","t","Entire home/apt",4,2,2,250,2,1125,353,31,0,0,4.9,4.93,4.68,4.97,4.97,4.65,4.65,"f",1,0.5,2832,"Amsterdam"
"Stylish loft, private floor near zoo,museum⏹,city⏺","2014-10-03","N/A",NA,NA,"f",2,2,"t","t","Private room",2,NA,1,75,1,5,0,1,0,0,5,5,5,5,5,5,5,"f",2,0.03,2611,"Amsterdam"
"Beautiful loft in center Amsterdam","2012-10-06","within an hour",100,87,"t",0,0,"t","t","Entire home/apt",4,2,4,243,3,1125,3,121,7,1,4.89,4.91,4.65,4.94,4.97,4.95,4.76,"f",1,1.11,3338,"Amsterdam"
"Amazing 70sqm apartment","2018-03-06","within an hour",100,100,"f",1,1,"t","t","Private room",2,1,1,125,3,30,354,30,1,1,4.93,4.97,4.93,4.93,5,4.59,4.9,"f",1,0.69,1361,"Amsterdam"
"LUXURY FAMILY HOUSE  IN AMSTERDAM","2012-10-26","within an hour",100,NA,"f",1,1,"t","t","Entire home/apt",4,3,2,249,4,30,293,2,0,0,5,5,5,5,5,5,5,"f",1,0.04,3318,"Amsterdam"
"BB 1971 Hazenstraat - Room 2","2011-04-18","within an hour",99,97,"f",238,238,"t","t","Private room",2,NA,1,65,1,1125,306,6,6,1,4.5,4.33,4,4.83,5,5,4.33,"t",3,2.34,3875,"Amsterdam"
"Clean & Bright Apartment in Vibrant Amsterdam-West","2011-04-15","within an hour",89,83,"f",1,1,"t","t","Entire home/apt",4,2,2,119,3,1125,15,9,7,2,5,4.89,5,4.89,5,4.78,4.67,"f",1,0.4,3878,"Amsterdam"
"Amsterdam Farm Lodge: green area, great with kids","2017-06-17","within an hour",100,100,"t",7,7,"t","t","Entire home/apt",7,3,6,154,2,180,271,44,5,1,4.59,4.68,4.7,4.91,4.95,4.36,4.45,"t",7,0.87,1623,"Amsterdam"
"Assolutamente imperdibile! AMSTERDAM 01/05 - 03/05","2015-02-21","N/A",NA,NA,"f",1,1,"t","t","Shared room",8,1,8,202,1,1125,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2470,"Amsterdam"
"Lovely one bedroom apartment, 37m2 calm & central","2015-03-05","within a few hours",100,67,"f",0,0,"t","f","Entire home/apt",2,1,1,150,3,8,6,3,3,0,5,5,5,5,5,4.67,5,"f",1,0.95,2458,"Amsterdam"
"Maxim’s","2017-06-07","within an hour",100,89,"f",2,2,"t","t","Private room",2,NA,1,66,2,365,26,17,17,5,4.76,4.82,4.65,4.88,4.71,4.59,4.65,"f",1,5.67,1633,"Amsterdam"
"**COSY and BRIGHT apartment  in West area**","2016-08-10","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,65,2,21,0,3,0,0,5,5,5,5,5,5,4.67,"f",1,0.07,1934,"Amsterdam"
"Lux 2-bed aprt + 2 bath + 2 terrace","2013-01-16","within a day",90,59,"t",1,1,"t","f","Entire home/apt",4,2,2,285,2,1125,298,38,8,3,4.86,4.81,4.89,4.73,4.89,4.71,4.74,"f",1,0.42,3236,"Amsterdam"
"Authentic, canal view full appartment + free WIFI","2015-10-09","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,99,2,3,0,187,2,2,4.9,4.94,4.94,4.98,4.99,4.92,4.8,"t",1,2.62,2240,"Amsterdam"
"Central & Modern Studio on Eco-Houseboat!","2012-07-06","within an hour",100,100,"t",4,4,"t","t","Private room",2,NA,1,132,2,1125,65,21,5,1,4.86,4.95,4.95,5,5,4.9,4.81,"t",3,0.67,3430,"Amsterdam"
"Beautiful & clean apartment near the Museumsquare","2016-06-24","within an hour",100,80,"f",1,1,"t","t","Hotel room",4,2,2,200,2,120,263,50,5,0,4.84,4.84,4.92,4.92,4.98,5,4.5,"f",1,1.29,1981,"Amsterdam"
"Stunning room/bath in bright loft","2012-07-10","within a day",100,NA,"t",1,1,"t","t","Private room",2,1,1,100,3,1125,31,107,0,0,4.84,4.82,4.89,4.95,4.96,4.76,4.6,"f",1,1.55,3426,"Amsterdam"
"'Private Island' in old renovated Coachman's house","2020-02-04","within an hour",95,97,"t",2,2,"t","t","Private room",2,1,1,104,1,1125,60,35,25,2,4.97,4.94,5,4.97,4.94,5,4.74,"t",2,1.67,661,"Amsterdam"
"Romantic Unique house boat near center Amsterdam","2018-02-06","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,275,2,21,0,11,0,0,4.91,4.91,4.91,4.82,4.91,4.91,4.64,"f",1,0.28,1389,"Amsterdam"
"Private space 10 minutes from center","2015-08-27","within a day",100,100,"f",1,1,"t","f","Entire home/apt",2,NA,1,149,2,1125,85,18,1,1,4.83,4.61,5,5,5,4.67,4.56,"f",1,0.56,2283,"Amsterdam"
"Cozy Apartment near Westerpark","2013-02-05","within a day",100,33,"f",1,1,"t","t","Entire home/apt",2,1,1,100,4,4,0,32,3,1,4.97,4.97,4.9,4.93,5,4.6,4.8,"f",1,0.37,3216,"Amsterdam"
"3 -Stylish topfloor 1 bedroom Jordaan apartment","2013-04-06","within an hour",97,46,"t",18,18,"t","t","Entire home/apt",2,1,1,125,7,180,198,5,5,2,5,5,5,4.8,4.6,5,4.8,"f",12,2.46,3156,"Amsterdam"
"Amazing Spacious Canal Apartment in Centre | 2BD","2014-10-01","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",4,2,2,217,1,1125,137,171,31,7,4.76,4.75,4.81,4.54,4.74,4.91,4.63,"t",1,3.44,2613,"Amsterdam"
"Modern, light, 2p, in lovely area!  (85m2)","2013-10-17","within a few hours",100,100,"f",4,4,"t","t","Entire home/apt",2,1,1,200,2,65,0,50,2,0,4.52,4.67,4.42,4.26,4.6,4.72,4.39,"t",2,0.69,2962,"Amsterdam"
"Net gerenoveerde studio midden in de pijp!","2012-12-21","within an hour",100,100,"f",9,9,"t","t","Hotel room",2,1,1,113,2,30,44,32,14,2,4.94,4.97,4.91,5,5,4.94,4.84,"t",3,1.5,3262,"Amsterdam"
"New! Modern & cozy studio at Eastern Docklands | 2P","2014-03-09","within an hour",100,100,"f",1,1,"t","f","Private room",2,1,1,91,1,1125,184,38,1,1,4.81,4.97,4.92,4.75,4.81,4.69,4.67,"t",1,0.42,2819,"Amsterdam"
"Very comfortable private room in Amsterdam B&B","2015-12-24","within an hour",100,100,"f",2,2,"t","t","Private room",2,1,1,89,1,1125,257,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2164,"Amsterdam"
"Cannabis Friendly Weber Design Studio 8","2018-03-13","within an hour",97,99,"f",22,22,"t","t","Entire home/apt",2,NA,NA,170,1,1125,27,25,8,0,4.2,4.24,4.2,4.24,4.16,4.76,4.12,"t",22,1.1,1354,"Amsterdam"
"Beautiful familyhouse on best spot","2013-04-05","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,3,5,175,2,1125,0,26,0,0,4.69,4.83,4.42,4.88,4.8,4.8,4.68,"f",1,0.34,3157,"Amsterdam"
"Riant woon-werkhuis aan groene rand van Amsterdam","2014-02-26","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,135,7,30,137,3,0,0,5,5,4.67,5,5,5,5,"t",1,0.06,2830,"Amsterdam"
"Bright & modern studio in upcoming area!","2015-02-11","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,NA,1,90,2,1125,0,34,0,0,4.7,4.73,4.58,4.81,4.73,4.59,4.5,"t",1,0.54,2480,"Amsterdam"
"Cannabis Friendly (G) Freeland Studio 14","2021-06-08","within an hour",98,100,"f",19,19,"t","t","Entire home/apt",2,NA,1,99,2,1125,15,3,3,2,3,3.33,4.33,2.67,4,4.33,3.67,"t",19,2.25,171,"Amsterdam"
"Private Room City Apartment","2011-06-02","within an hour",100,68,"f",2,2,"t","t","Private room",2,1,1,95,2,30,57,7,7,3,4.86,5,4.57,5,5,4.86,4.86,"f",1,3.44,3830,"Amsterdam"
"Luxurious, spacious and trendy 1-bed apartment","2020-02-19","within a day",88,67,"f",0,0,"t","f","Entire home/apt",2,1,1,220,2,23,299,3,3,0,5,5,5,5,4.67,4.33,4.67,"f",1,2.31,646,"Amsterdam"
"Spacious 2BDR apartment incl Roof Terrace","2016-01-27","within a day",80,44,"f",0,0,"t","t","Entire home/apt",4,2,2,335,2,1125,38,15,7,1,4.93,4.87,4.8,4.73,4.93,4.73,4.73,"f",1,0.6,2130,"Amsterdam"
"Family home with canal view","2013-04-21","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",3,2,2,180,3,10,0,17,0,0,4.82,4.82,4.47,4.65,5,4.76,4.53,"f",1,0.26,3141,"Amsterdam"
"Wittenberg Two Bedroom Superior Apartment","2019-02-07","N/A",NA,NA,"f",15,15,"t","t","Entire home/apt",4,1,2,321,7,99,305,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",15,NA,1023,"Amsterdam"
"Bright apt. near vibrant Jordaan area.","2014-08-27","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",2,1,1,108,2,4,0,7,0,0,5,5,5,5,5,4.57,4.71,"f",1,0.12,2648,"Amsterdam"
"Luxury & Style Private Apartment In Center Jordaan","2015-11-26","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,245,7,365,198,104,15,2,4.64,4.74,4.53,4.77,4.82,4.96,4.48,"f",1,1.9,2192,"Amsterdam"
"Large cosy family house in trendy Amsterdam Noord","2018-12-11","within an hour",100,75,"f",1,1,"t","f","Entire home/apt",4,4,5,224,3,30,0,12,3,0,4.82,4.91,4.36,4.91,5,4.45,4.55,"t",1,0.39,1081,"Amsterdam"
"Fancy and cozy apartment in Oud-West area","2011-12-09","within a day",50,33,"f",2,2,"t","t","Entire home/apt",3,1,NA,100,3,1125,0,3,1,0,4.67,5,4,5,5,5,4.67,"f",1,0.13,3640,"Amsterdam"
"Lovely light and spacious apartment with balcony","2013-11-20","N/A",NA,NA,"t",1,1,"t","t","Entire home/apt",4,2,2,179,3,1125,0,48,0,0,4.79,4.85,4.75,4.94,4.96,4.56,4.75,"f",1,0.7,2928,"Amsterdam"
"Top floor- private bathroom & balcony by Centraal","2012-06-07","N/A",NA,NA,"f",1,1,"t","t","Private room",2,1,2,165,3,1125,23,2,0,0,5,5,5,5,5,4.5,4.5,"f",1,0.05,3459,"Amsterdam"
"Private studio in Jordaan area  for 1-3 persons","2016-03-24","within an hour",100,94,"f",0,0,"t","f","Private room",3,1,3,89,3,56,108,9,9,3,4.78,4.78,4.56,5,4.89,5,4.56,"f",1,9,2073,"Amsterdam"
