"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"★ 4BED/2BATH | FAMILY HOME | FREE PARKING+GARDEN ★","2014-03-25","N/A",NA,100,"f",1,1,"t","f","Entire home/apt",4,4,5,250,3,23,6,2,1,0,4.5,4.5,4.5,5,5,4.5,4,"f",1,0.11,2803,"Amsterdam"
"Stylish green apartment near the beautiful Jordaan","2014-08-05","within a few hours",100,0,"t",1,1,"t","t","Entire home/apt",4,2,2,200,3,20,0,58,0,0,4.91,4.89,4.91,4.96,4.98,4.73,4.7,"f",1,0.89,2670,"Amsterdam"
"Spacious house  family and business, non smoking","2015-06-08","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",4,3,3,250,2,30,0,47,0,0,4.87,4.98,4.91,4.93,4.96,4.76,4.67,"f",1,0.74,2363,"Amsterdam"
"Modern Apartment in Tranquil Location","2016-03-27","within a few hours",100,0,"f",1,1,"t","t","Entire home/apt",4,1,1,90,7,90,53,59,0,0,4.55,4.62,4.52,4.83,4.86,4.47,4.12,"f",1,0.89,2070,"Amsterdam"
"Great house 15 min from city center free parking","2017-02-23","within an hour",100,96,"f",1,1,"t","t","Entire home/apt",4,3,3,125,2,1125,103,149,13,2,4.89,4.89,4.83,4.97,4.96,4.43,4.68,"f",1,2.65,1737,"Amsterdam"
"2-Bedroom Apt at Amsterdam Prince Island by YAYS","2018-10-18","within an hour",95,98,"f",5,5,"t","t","Entire home/apt",4,2,3,405,1,1125,305,9,7,0,4.78,4.67,4.56,4,4.44,4.89,4.67,"t",5,1.61,1135,"Amsterdam"
"Sleeping under Stars in Rural Amsterdam","2016-06-02","within an hour",100,100,"f",5,5,"t","f","Private room",4,1,1,99,2,1125,354,1,1,0,5,5,5,5,5,5,5,"f",4,0.24,2003,"Amsterdam"
"<3 Lovely & Cozy Room in Amsterdam Centre <3","2015-06-01","N/A",NA,NA,"f",4,4,"t","t","Private room",2,1,1,110,1,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2370,"Amsterdam"
"Cozy 2-person private room with luxurious bathroom","2021-03-12","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,50,1,365,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",3,NA,259,"Amsterdam"
"Oud Zuid -> De Pijp -> Diamantbuurt,  AMSTERDAM","2018-08-26","within a day",100,0,"f",0,0,"t","t","Entire home/apt",2,1,1,144,2,1125,338,4,0,0,4.5,5,5,5,4.75,4.75,4,"f",1,0.16,1188,"Amsterdam"
"Wittenberg One Bedroom Apartment","2019-02-07","N/A",NA,NA,"f",15,15,"t","t","Entire home/apt",2,1,1,224,7,99,358,2,0,0,4,5,5,5,5,5,4,"t",15,0.07,1023,"Amsterdam"
